Nutriente,Unità,Totale_giornaliero
Biotin,UG,110.6
"Calcium, Ca",MG,972.2
"Carbohydrate, by difference",G,265.5
"Choline, total",MG,517.5
Energy,KCAL,976.1
Energy,kJ,3523.5
Iodine,MCG,225.0
Niacin,MG,12.5
Protein,G,91.8
"Sodium, Na",MG,3896.1
Total lipid (fat),G,60.6
Vitamin B-12,UG,500.0
Vitamin D (D2 + D3),UG,50.0
